,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
113,DNB,-,-,-,-,-,-,-,2,,v U.A.E.,Perth,28 Feb 2015,ODI # 3618
114,13,31,23,2,0,56.52,7,caught,2,,v West Indies,Perth,6 Mar 2015,ODI # 3625
115,DNB,-,-,-,-,-,-,-,2,,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
116,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
117,23*,15,10,4,0,230.00,7,not out,1,,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
118,16,23,17,2,0,94.11,7,run out,2,,v Australia,Sydney,26 Mar 2015,ODI # 3645
119,32,56,42,2,0,76.19,7,caught,2,,v Bangladesh,Mirpur,18 Jun 2015,ODI # 3658
120,19,42,26,1,0,73.07,7,bowled,1,,v Bangladesh,Mirpur,21 Jun 2015,ODI # 3660
121,10*,9,5,1,0,200.00,5,not out,1,,v Australia,Perth,12 Jan 2016,ODI # 3723
122,5,9,5,0,0,100.00,7,run out,1,,v Australia,Brisbane,15 Jan 2016,ODI # 3724
123,6*,11,5,0,0,120.00,7,not out,1,,v Australia,Melbourne,17 Jan 2016,ODI # 3725
124,24*,48,27,1,0,88.88,6,not out,2,,v Australia,Canberra,20 Jan 2016,ODI # 3726
125,DNB,-,-,-,-,-,-,-,2,,v Australia,Sydney,23 Jan 2016,ODI # 3727
126,13,24,15,2,0,86.66,8,caught,2,,v England,Pune,15 Jan 2017,ODI # 3819
127,16*,11,8,1,1,200.00,8,not out,1,,v England,Cuttack,19 Jan 2017,ODI # 3821
128,10,8,6,2,0,166.66,8,caught,2,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
129,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
130,0*,-,0,0,0,-,8,not out,1,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
131,DNB,-,-,-,-,-,-,-,2,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
132,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
133,15,41,26,0,0,57.69,8,caught,2,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
134,11,-,11,1,0,100.00,8,caught,2,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
135,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
136,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
137,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
138,25,-,34,1,0,73.52,7,caught,2,,v Afghanistan,Dubai (DSC),25 Sep 2018,ODI # 4046
139,23,-,33,1,0,69.69,7,caught,2,,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
